,state,act_participation2018,act_english2018,act_math2018,act_reading2018,act_science2018,act_composite2018,sat_participation2018,sat_erw2018,sat_math2018,sat_total2018
0,Alabama,100.0,18.9,18.3,19.6,19.0,19,6.0,595,571,1166
1,Alaska,33.0,19.8,20.6,21.6,20.7,21,43.0,562,544,1106
2,Arizona,66.0,18.2,19.4,19.5,19.2,19,29.0,577,572,1149
3,Arkansas,100.0,19.1,18.9,19.7,19.4,19,5.0,592,576,1168
4,California,27.0,22.5,22.5,23.0,22.1,23,60.0,540,536,1076
5,Colorado,30.0,23.9,23.2,24.4,23.5,24,100.0,519,506,1025
6,Connecticut,26.0,26.0,24.8,26.1,24.9,25,100.0,535,519,1054
7,Delaware,17.0,23.7,23.1,24.5,23.4,24,100.0,505,492,997
8,District of Columbia,32.0,23.7,22.7,24.4,23.0,23,92.0,497,480,977
9,Florida,66.0,19.2,19.3,21.1,19.5,20,56.0,550,549,1099
10,Georgia,53.0,20.9,20.7,21.2,21.4,21,70.0,542,522,1064
11,Hawaii,89.0,18.2,19.0,19.1,19.0,19,56.0,480,530,1010
12,Idaho,36.0,21.9,21.6,23.2,22.1,22,100.0,508,493,1001
13,Illinois,43.0,24.1,23.4,24.2,23.4,24,99.0,513,506,1019
14,Indiana,32.0,21.9,22.3,23.1,22.2,22,63.0,542,532,1074
15,Iowa,68.0,21.0,21.2,22.5,22.0,22,3.0,634,631,1265
16,Kansas,71.0,21.0,21.1,22.3,21.5,21,4.0,633,631,1264
17,Kentucky,100.0,19.9,19.7,20.8,20.1,20,4.0,630,618,1248
18,Louisiana,100.0,19.0,18.5,19.6,19.1,19,4.0,615,595,1210
19,Maine,7.0,23.8,23.6,24.7,23.4,24,99.0,512,501,1013
20,Maryland,31.0,22.1,22.0,23.1,22.2,22,76.0,545,535,1080
21,Massachusetts,25.0,25.5,25.2,25.9,24.7,25,80.0,562,563,1125
22,Michigan,22.0,24.5,23.9,24.7,23.9,24,100.0,511,499,1010
23,Minnesota,99.0,20.2,21.4,21.7,21.4,21,4.0,643,655,1298
24,Mississippi,100.0,18.2,18.1,18.9,18.6,18,3.0,630,606,1236
25,Missouri,100.0,19.5,19.7,20.5,20.0,20,4.0,633,629,1262
26,Montana,100.0,18.7,19.9,20.7,20.0,20,10.0,606,592,1198
27,Nebraska,100.0,19.4,19.8,20.4,20.1,20,3.0,629,623,1252
28,Nevada,100.0,16.6,17.8,18.0,17.9,18,23.0,574,566,1140
29,New Hampshire,16.0,25.1,24.7,25.6,24.4,25,96.0,535,528,1063
30,New Jersey,31.0,23.8,23.6,24.0,23.0,24,82.0,547,547,1094
31,New Mexico,67.0,18.3,19.1,20.1,19.7,19,16.0,552,540,1092
32,New York,27.0,24.2,24.2,24.9,24.2,24,79.0,534,534,1068
33,North Carolina,100.0,18.0,19.3,19.5,19.2,19,52.0,554,543,1097
34,North Dakota,98.0,19.1,20.3,20.7,20.5,20,2.0,640,643,1283
35,Ohio,100.0,19.3,20.3,20.8,20.4,20,18.0,552,547,1099
36,Oklahoma,100.0,18.4,18.8,20.1,19.4,19,8.0,541,521,1062
37,Oregon,42.0,20.6,20.9,21.9,21.1,21,48.0,564,553,1117
38,Pennsylvania,20.0,23.3,23.2,24.0,23.1,23,70.0,547,539,1086
39,Rhode Island,15.0,24.4,23.6,25.0,23.5,24,97.0,513,505,1018
40,South Carolina,100.0,17.3,18.2,18.6,18.5,18,55.0,547,523,1070
41,South Dakota,77.0,20.8,21.6,22.4,22.2,22,3.0,622,618,1240
42,Tennessee,100.0,19.4,19.1,19.9,19.6,20,6.0,624,607,1231
43,Texas,41.0,19.6,20.6,21.1,20.8,21,66.0,520,512,1032
44,Utah,100.0,19.7,19.9,20.9,20.5,20,4.0,480,530,1010
45,Vermont,24.0,23.9,23.4,24.9,23.8,24,64.0,565,554,1119
46,Virginia,24.0,23.8,23.3,24.7,23.5,24,68.0,567,550,1117
47,Washington,24.0,21.4,22.2,22.7,22.0,22,69.0,543,538,1081
48,West Virginia,65.0,19.8,19.4,21.3,20.4,20,28.0,513,486,999
49,Wisconsin,100.0,19.8,20.3,20.6,20.8,20,3.0,641,653,1294
50,Wyoming,100.0,19.0,19.7,20.6,20.3,20,3.0,633,625,1258
